fixture_id,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,kickoff_utc,status,round,venue
1,1031,Mexico,https://flagcdn.com/w80/mx.png,1039,South Africa,https://flagcdn.com/w80/za.png,2026-06-11 21:00:00+00,OPEN,Group Stage - Group A,MEXICO CITY
2,1028,South Korea,https://flagcdn.com/w80/kr.png,1015,Czechia,https://flagcdn.com/w80/cz.png,2026-06-12 04:00:00+00,OPEN,Group Stage - Group A,GUADALAJARA
3,1008,Canada,https://flagcdn.com/w80/ca.png,1006,Bosnia-Herzegovina,https://flagcdn.com/w80/ba.png,2026-06-12 19:00:00+00,OPEN,Group Stage - Group B,TORONTO
4,1047,United States,https://flagcdn.com/w80/us.png,1036,Paraguay,https://flagcdn.com/w80/py.png,2026-06-13 04:00:00+00,OPEN,Group Stage - Group D,LOS ANGELES
5,1023,Haiti,https://flagcdn.com/w80/ht.png,1040,Scotland,https://flagcdn.com/w80/gb-sct.png,2026-06-14 01:00:00+00,OPEN,Group Stage - Group C,BOSTON
6,1003,Australia,https://flagcdn.com/w80/au.png,1045,Turkey,https://flagcdn.com/w80/tr.png,2026-06-13 07:00:00+00,OPEN,Group Stage - Group D,VANCOUVER
7,1007,Brazil,https://flagcdn.com/w80/br.png,1030,Morocco,https://flagcdn.com/w80/ma.png,2026-06-13 22:00:00+00,OPEN,Group Stage - Group C,NE NEW J
8,1038,Qatar,https://flagcdn.com/w80/qa.png,1042,Switzerland,https://flagcdn.com/w80/ch.png,2026-06-13 22:00:00+00,OPEN,Group Stage - Group B,SAN FRANCISCO BAY AREA
9,1009,Côte d'Ivoire,https://flagcdn.com/w80/ci.png,1016,Ecuador,https://flagcdn.com/w80/ec.png,2026-06-14 23:00:00+00,OPEN,Group Stage - Group E,PHILADELPHIA
10,1021,Germany,https://flagcdn.com/w80/de.png,1014,Curaçao,https://flagcdn.com/w80/cw.png,2026-06-14 18:00:00+00,OPEN,Group Stage - Group E,HOUSTON
11,1032,Netherlands,https://flagcdn.com/w80/nl.png,1027,Japan,https://flagcdn.com/w80/jp.png,2026-06-14 21:00:00+00,OPEN,Group Stage - Group F,DALLAS
12,1043,Sweden,https://flagcdn.com/w80/se.png,1044,Tunisia,https://flagcdn.com/w80/tn.png,2026-06-15 04:00:00+00,OPEN,Group Stage - Group F,MONTERREY
13,1029,Saudi Arabia,https://flagcdn.com/w80/sa.png,1046,Uruguay,https://flagcdn.com/w80/uy.png,2026-06-15 22:00:00+00,OPEN,Group Stage - Group H,MIAMI
14,1019,Spain,https://flagcdn.com/w80/es.png,1012,Cape Verde,https://flagcdn.com/w80/cv.png,2026-06-15 16:00:00+00,OPEN,Group Stage - Group H,ATLANTA
15,1024,Iran,https://flagcdn.com/w80/ir.png,1034,New Zealand,https://flagcdn.com/w80/nz.png,2026-06-16 04:00:00+00,OPEN,Group Stage - Group G,LOS ANGELES
16,1005,Belgium,https://flagcdn.com/w80/be.png,1017,Egypt,https://flagcdn.com/w80/eg.png,2026-06-15 22:00:00+00,OPEN,Group Stage - Group G,SEATTLE
17,1020,France,https://flagcdn.com/w80/fr.png,1041,Senegal,https://flagcdn.com/w80/sn.png,2026-06-16 19:00:00+00,OPEN,Group Stage - Group I,NE NEW J
18,1025,Iraq,https://flagcdn.com/w80/iq.png,1033,Norway,https://flagcdn.com/w80/no.png,2026-06-16 22:00:00+00,OPEN,Group Stage - Group I,BOSTON
19,1002,Argentina,https://flagcdn.com/w80/ar.png,1001,Algeria,https://flagcdn.com/w80/dz.png,2026-06-17 02:00:00+00,OPEN,Group Stage - Group J,KANSAS CITY
20,1004,Austria,https://flagcdn.com/w80/at.png,1026,Jordan,https://flagcdn.com/w80/jo.png,2026-06-16 07:00:00+00,OPEN,Group Stage - Group J,SAN FRANCISCO BAY AREA
21,1022,Ghana,https://flagcdn.com/w80/gh.png,1035,Panama,https://flagcdn.com/w80/pa.png,2026-06-17 23:00:00+00,OPEN,Group Stage - Group L,TORONTO
22,1018,England,https://flagcdn.com/w80/gb-eng.png,1013,Croatia,https://flagcdn.com/w80/hr.png,2026-06-17 21:00:00+00,OPEN,Group Stage - Group L,DALLAS
